Load Balanced By Dimension (Unbalanced Lattice),,,,,,,,,,,,Load Balanced By Dimension (Same Side Pins),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Load Balance Old (Unbalanced Lattice),,,,,,,,,,,,Load Balance Old (Same Side Pins),,,,,,,,,,
,,,,,,,,,,,,Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100,
,,,,,,,,,,,,Coarse,1.85366,1.36134,1.76471,1.47929,1.74194,1.59535,1.792,1.82022,1.92308, 
,,,,,,,,,,,,1.8,1.05051,1.46429,1.91617,1.79245,1.67742,2.03109,2.46154,2.4, crash,
,,,,,,,,,,,,1.6,1.12334,1.36667,1.52113,1.51246,1.74,1.8816,2.4186,2.4212, crash,
,,,,,,,,,,,,1.4,1.0798,1.36224,1.50405,1.68971,1.78882,1.81762,2.0259,2.50633,2.90621, 
,,,,,,,,,,,,1.2,1.08982,1.31642,1.53392,1.83206,1.72197,1.77437,2.18947,1.96364,2.55814, 
,,,,,,,,,,,,1,1.06144,1.22093,1.7405,1.58269,1.57241,1.90522,2.05686,2.52561,2.7689, 
,,,,,,,,,,,,0.8,1.03786,1.29399,1.57676, crash,1.81635,1.63333,1.94892,2.07897, crash,
,,,,,,,,,,,,0.6,1.02013,1.24191,1.45577,1.62018,1.89176,1.54088,1.68019,2.09201,2.42057, 
,,,,,,,,,,,,0.4,1.08708,1.15836,1.35356,1.53151,1.49309,1.62142, crash,1.84091,2.06311, 
,,,,,,,,,,,,0.2,1.04385,1.13315,1.14008,1.30224,1.41835,1.46784, crash,crash,1.44558, 
,,,,,,,,,,,,0.1,1.01452,1.06382,1.08479,1.21254,1.27404, crash,1.17664, crash,1.24494, 
,,,,,,,,,,,,0.08,1.00326,1.03738,1.07394,1.14352, crash,crash,1.33779, crash,1.17602, 
,,,,,,,,,,,,0.06,1.01328,1.03467,1.0608,1.09088, crash,1.15676,1.23391, crash,1.06356, 
,,,,,,,,,,,,0.05,1.00719,1.02003,1.04326,1.08069, crash,1.09384,1.19785, crash,1.08696, 
,,,,,,,,,,,,0.04,1.00526,1.01942,1.00869,1.03234, crash,1.04483,1.09539, crash,1.10996, 
,,,,,,,,,,,,0.03,1.00577,1.011,1.00672,1.03871,1.08489, crash,1.08146, crash,1.03406, 
,,,,,,,,,,,,0.02,1.00403,1.00874,1.00382,1.01427,1.02385, crash,1.00326,1.04696,1.04855, 
,,,,,,,,,,,,0.01,1.00262,1.00788,1.01374,1.00126,1.0132,1.01755,1.00276,1.03491,1.0097, 
