Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
Coarse,2.2388,2.24487,2.28198,2.27164,2.24292,2.291,2.32439,2.26109,2.29382
1.8,2.12901,2.12887,2.15817,2.41604,2.12871,2.42596,2.22748,2.17028,2.64887
1.6,2.11257,2.1159,2.14696,2.39974,2.1149,2.41794,2.22119,2.15905,2.63425
1.4,2.09249,2.09509,2.12735,2.37995,2.09654,2.39458,2.19918,2.11945,2.60765
1.2,2.06941,2.07396,2.10591,2.35241,2.07889,2.36837,2.18222,2.1056,2.58862
1,2.03594,2.03854,2.0686,2.31758,2.03929,2.33374,2.14627,2.08003,2.53944
0.8,1.98966,1.99132,2.02149,2.2658,1.99353,2.28207,2.09897,2.03473,2.498
0.6,1.91156,1.92041,1.94957,2.18397,1.92049,2.20489,2.03033,1.95772,2.40806
0.4,1.78032,1.7874,1.81573,2.04245,1.79217,2.05795,1.9018,1.83017,2.266
0.2,1.46961,1.4782,1.50544,1.7019,1.48621,1.72338,1.59005,1.52214,1.9089
0.1,1.08876,1.10452,1.11934,1.27869,1.10929,1.29461,1.20745,1.15883,1.4454
0.08,1.02525,1.01788,1.03281,1.13335,1.02048,1.1549,1.06937,1.0283,1.31065
0.06,1.02652,1.03513,1.03912,1.14803,1.04301,1.18443,1.09142,1.08113,1.2812
0.05,1.02156,1.02036,1.03394,1.10585,1.03236,1.12652,1.0853,1.06132,1.20445
0.04,1.05878,1.06027,1.06138,1.12093,1.07599,1.11725,1.09212,1.10089,1.19885
0.03,1.07686,1.07849,1.09049,1.11769,1.09567,1.10833,1.09948,1.11396,1.15323
0.02,1.02372,1.03446,1.03125,1.02663,1.02897,1.0297,1.02923,1.03384,1.05561
0.01,1.03028,1.02968,1.03037,1.04154,1.03033,1.04452,1.03788,1.03477,1.04718
