Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
Coarse,1.94872,1.59813,3.36842,2.0979,2.27848,2.6776,2.53465,2.80519,3.05344
1.8,1.45756,1.93981,2.81319,2.59027,2.98013,2.89086,2.96862,4.5,4.32633
1.6,1.42272,1.94946,2.42654,2.42176,3.00439,3.05341,2.71186,4.10731,4.08627
1.4,1.31621,1.87129,2.65378,3.12966,2.45106,3.02957,4.143,4.3936,4.14847
1.2,1.29762,1.76523,2.46154,2.65604,2.59162,3.17769,4.0197,4.28194,5.05376
1,1.34771,1.63849,2.25977,2.3269,2.34696,3.01276,3.92638,3.67069,4.33962
0.8,1.25677,1.51285,2.01681,2.79214,2.01802,2.61462,3.27413,3.37207,3.62903
0.6,1.14236,1.45161,1.78831,2.40816,2.8087,2.0917,2.90202,2.87385,3.62903
0.4,1.09456,1.35291,1.44948,1.87166,2.39722,1.83987,1.95813,2.35104,2.26244
0.2,1.04575,1.13619,1.33588,1.54529,1.64762,2.04949,1.4009,1.79045,1.71429
0.1,1.0197,1.0426,1.10931,1.16982,1.28693,1.36479,1.32316,1.40914,1.22087
0.08,1.01127,1.0291,1.09433,1.19001,1.20861,1.28996,1.19943,1.31782,1.38145
0.06,1.00528,1.03053,1.03736,1.10483,1.08662,1.19815,1.15047,1.28293,1.06841
0.05,1.02067,1.0216,1.05758,1.09163,1.07928,1.11467,1.14021,1.21751,1.17592
0.04,1.004,1.01344,1.00166,1.06086,1.07353,1.07315,1.15606,1.17111,1.17089
0.03,1.00298,1.01647,1.02087,1.04998,1.06516,1.04791,1.92936,1.13151,1.04098
0.02,1.00419,1.00828,1.00998,1.03375,1.02403,1.02755,1.57437,1.07986,1.0939
0.01,1.00261,1.01018,1.00824,1.0088,1.03911,1.01806,1.27652,1.04298,1.02177
