Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
Coarse,0.951219262,0.330383839,0.261223348,0.154157583,0.140068316,0.112239988,0.108973002,0.211708385,0.284024263
1.8,0.787274415,0.574522575,0.402380465,0.42467884,0.326669991,0.27987466,0.118563433,0.601171183,0.645168066
1.6,0.790939883,0.600698944,0.393692018,0.478645075,0.384579266,0.290634143,0.141511058,0.412159992,0.480368981
1.4,0.853527129,0.644683499,0.601541085,0.421248409,0.293758038,0.31572719,0.141997704,0.4124848,0.624470068
1.2,0.88834944,0.768916239,0.509569212,0.335937702,0.376926391,0.301111666,0.141490393,0.649654832,0.46007322
1,0.851966758,0.814009635,0.596927264,0.39958784,0.386587881,0.405585929,0.124744539,0.608694899,0.617343903
0.8,0.906394965,0.852601807,0.497084469,0.467107263,0.354816245,0.507340275,0.13683362,0.566641439,0.811138177
0.6,0.921916033,0.918749032,0.727790455,0.680589003,0.448869037,0.443384933,0.140099172,0.862653138,0.565313738
0.4,1,0.891576251,0.76215145,0.851569363,0.627793665,0.559504719,0.138209304,0.60763362,0.842172607
0.2,1,1,0.886071973,0.863945404,0.947009771,0.821821098,0.24695731,0.821262965,1
0.1,1,1,1,1,1,0.976700989,0.304616214,0.924147412,1
0.08,1,1,1,1,1,1,0.352579406,0.91218857,1
0.06,1,1,1,1,1,1,0.421067903,1,1
0.05,1,1,1,1,1,1,0.446706927,1,1
0.04,1,1,1,1,1,1,0.510852654,1,1
0.03,1,1,1,1,1,1,0.710589334,1,1
0.02,1,1,1,1,1,1,0.737223574,1,1
0.01,1,1,1,1,1,1,1,1,1
