Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
Coarse,1.85366,1.36134,1.76471,1.47929,1.74194,1.59535,1.792,1.82022,1.92308
1.8,1.14513,1.32582,1.65079,2.08333,2.58149,2.40887,2.68729,3.82821,3.9929
1.6,1.12319,1.34416,1.65079,2.34807,2.67008,2.47139,2.9592,2.592,2.97297
1.4,1.12162,1.36758,1.78852,1.8595,1.82741,2.70803,2.81679,2.57803,3.74288
1.2,1.15274,1.5044,1.53975,1.5625,1.70595,2.13496,2.80548,2.7931,2.8665
1,1.14512,1.44643,1.73285,1.73734,1.73767,2.38577,2.47635,2.81144,3.07136
0.8,1.13913,1.40172,1.46626,1.44466,1.58451,2.25599,2.38329,2.598,3.39321
0.6,1.05316,1.30523,1.49264,1.8511,1.57268,1.81481,1.80739,2.41875,2.36486
0.4,1.09456,1.19399,1.36528,1.7741,1.71237,1.86667,1.57377,1.71792,2.25757
0.2,1.05621,1.1481,1.18482,1.3495,1.62737,1.67045,1.73326,1.51785,1.71723
0.1,1.02349,1.03754,1.14702,1.21883,1.28612,1.33558,1.2549,1.25709,1.37139
0.08,1.01432,1.03682,1.08498,1.14511,1.20323,1.29548,1.22283,1.20896,1.25722
0.06,1.00759,1.03349,1.03707,1.10328,1.08444,1.20348,1.17547,1.26431,1.18683
0.05,1.01592,1.02633,1.04845,1.07312,1.06069,1.12141,1.14801,1.23274,1.15544
0.04,1.00277,1.02755,1.00502,1.05935,1.07634,1.0701,1.13278,1.18068,1.10913
0.03,1.00506,1.01561,1.01387,1.04257,1.06674,1.05083,1.32343,1.11495,1.08482
0.02,1.00587,1.01974,1.00998,1.04069,1.04001,1.02638,1.15447,1.09222,1.06835
0.01,1.00235,1.00874,1.01675,1.01885,1.02343,1.01902,1.28898,1.03974,1.01557
