,Load Balance Metric,,,,,,,,,,,,,,,,,,,
Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100,,Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
2,1.94872,4.12048,6.75556,9.59596,12.43636,14.21374,16.44444,8.59777,6.77083,,Coarse,0.951219262,0.330383839,0.261223348,0.154157583,0.140068316,0.112239988,0.108973002,0.211708385,0.284024263
1.8,1.45455,2.30769,4.10256,4.90566,7.90244,8.60696,22.66542,6.36792,6.18893,,1.8,0.787274415,0.574522575,0.402380465,0.42467884,0.326669991,0.27987466,0.118563433,0.601171183,0.645168066
1.6,1.42007,2.23766,4.1931,4.90566,6.94286,8.50344,20.91144,6.28882,6.18893,,1.6,0.790939883,0.600698944,0.393692018,0.478645075,0.384579266,0.290634143,0.141511058,0.412159992,0.480368981
1.4,1.3141,2.12132,2.97323,4.41426,6.2208,8.57712,19.83687,6.25,5.99369,,1.4,0.853527129,0.644683499,0.601541085,0.421248409,0.293758038,0.31572719,0.141997704,0.4124848,0.624470068
1.2,1.29762,1.95652,3.02167,4.65116,4.52595,7.09026,19.82806,4.29936,6.23053,,1.2,0.88834944,0.768916239,0.509569212,0.335937702,0.376926391,0.301111666,0.141490393,0.649654832,0.46007322
1,1.34409,1.77692,2.90295,4.34783,4.49489,5.88228,19.85137,4.6188,4.97512,,1,0.851966758,0.814009635,0.596927264,0.39958784,0.386587881,0.405585929,0.124744539,0.608694899,0.617343903
0.8,1.25677,1.64405,2.94972,3.09278,4.46572,4.4467,17.41743,4.58491,4.18327,,0.8,0.906394965,0.852601807,0.497084469,0.467107263,0.354816245,0.507340275,0.13683362,0.566641439,0.811138177
0.6,1.14236,1.42066,2.05092,2.71985,3.50365,4.09308,12.90079,2.80385,4.18327,,0.6,0.921916033,0.918749032,0.727790455,0.680589003,0.448869037,0.443384933,0.140099172,0.862653138,0.565313738
0.4,1.09456,1.33919,1.79135,2.08333,2.7276,3.33629,11.38686,2.82723,2.68065,,0.4,1,0.891576251,0.76215145,0.851569363,0.627793665,0.559504719,0.138209304,0.60763362,0.842172607
0.2,1.05621,1.1481,1.33716,1.56202,1.71843,2.03262,7.01846,1.84819,1.71723,,0.2,1,1,0.886071973,0.863945404,0.947009771,0.821821098,0.24695731,0.821262965,1
0.1,1.02349,1.03754,1.14702,1.21883,1.28612,1.36744,4.11961,1.36027,1.37139,,0.1,1,1,1,1,1,0.976700989,0.304616214,0.924147412,1
0.08,1.01432,1.03682,1.08498,1.14511,1.20323,1.29548,3.46824,1.32534,1.25722,,0.08,1,1,1,1,1,1,0.352579406,0.91218857,1
0.06,1.00759,1.03349,1.03707,1.10328,1.08444,1.20348,2.79164,1.26431,1.18683,,0.06,1,1,1,1,1,1,0.421067903,1,1
0.05,1.01592,1.02633,1.04845,1.07312,1.06069,1.12141,2.56994,1.23274,1.15544,,0.05,1,1,1,1,1,1,0.446706927,1,1
0.04,1.00277,1.02755,1.00502,1.05935,1.07634,1.0701,2.21743,1.18068,1.10913,,0.04,1,1,1,1,1,1,0.510852654,1,1
0.03,1.00506,1.01561,1.01387,1.04257,1.06674,1.05083,1.86244,1.11495,1.08482,,0.03,1,1,1,1,1,1,0.710589334,1,1
0.02,1.00587,1.01974,1.00998,1.04069,1.04001,1.02638,1.56597,1.09222,1.06835,,0.02,1,1,1,1,1,1,0.737223574,1,1
0.01,1.00235,1.00874,1.01675,1.01885,1.02343,1.01902,1.28898,1.03974,1.01557,,0.01,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,
Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100,,,,,,,,,,,
Coarse,1.85366,1.36134,1.76471,1.47929,1.74194,1.59535,1.792,1.82022,1.92308,,,,,,,,,,,
1.8,1.14513,1.32582,1.65079,2.08333,2.58149,2.40887,2.68729,3.82821,3.9929,,,,,,,,,,,
1.6,1.12319,1.34416,1.65079,2.34807,2.67008,2.47139,2.9592,2.592,2.97297,,,,,,,,,,,
1.4,1.12162,1.36758,1.78852,1.8595,1.82741,2.70803,2.81679,2.57803,3.74288,,,,,,,,,,,
1.2,1.15274,1.5044,1.53975,1.5625,1.70595,2.13496,2.80548,2.7931,2.8665,,,,,,,,,,,
1,1.14512,1.44643,1.73285,1.73734,1.73767,2.38577,2.47635,2.81144,3.07136,,,,,,,,,,,
0.8,1.13913,1.40172,1.46626,1.44466,1.58451,2.25599,2.38329,2.598,3.39321,,,,,,,,,,,
0.6,1.05316,1.30523,1.49264,1.8511,1.57268,1.81481,1.80739,2.41875,2.36486,,,,,,,,,,,
0.4,1.09456,1.19399,1.36528,1.7741,1.71237,1.86667,1.57377,1.71792,2.25757,,,,,,,,,,,
0.2,1.05621,1.1481,1.18482,1.3495,1.62737,1.67045,1.73326,1.51785,1.71723,,,,,,,,,,,
0.1,1.02349,1.03754,1.14702,1.21883,1.28612,1.33558,1.2549,1.25709,1.37139,,,,,,,,,,,
0.08,1.01432,1.03682,1.08498,1.14511,1.20323,1.29548,1.22283,1.20896,1.25722,,,,,,,,,,,
0.06,1.00759,1.03349,1.03707,1.10328,1.08444,1.20348,1.17547,1.26431,1.18683,,,,,,,,,,,
0.05,1.01592,1.02633,1.04845,1.07312,1.06069,1.12141,1.14801,1.23274,1.15544,,,,,,,,,,,
0.04,1.00277,1.02755,1.00502,1.05935,1.07634,1.0701,1.13278,1.18068,1.10913,,,,,,,,,,,
0.03,1.00506,1.01561,1.01387,1.04257,1.06674,1.05083,1.32343,1.11495,1.08482,,,,,,,,,,,
0.02,1.00587,1.01974,1.00998,1.04069,1.04001,1.02638,1.15447,1.09222,1.06835,,,,,,,,,,,
0.01,1.00235,1.00874,1.01675,1.01885,1.02343,1.01902,1.28898,1.03974,1.01557,,,,,,,,,,,
