Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
Coarse,0.44760586,0.449536053,0.455858509,0.460218168,0.449084229,0.464495853,0.454123447,0.467234829,0.470869554
1.8,0.477855905,0.481532456,0.531042504,0.500662241,0.563693505,0.507543405,0.612634008,0.652035682,0.580288953
1.6,0.486440686,0.492272792,0.502212431,0.498974889,0.558475578,0.509243406,0.691633764,0.781112063,0.598739679
1.4,0.48653996,0.504045172,0.512600183,0.523666464,0.627390844,0.578890661,0.621568039,0.718129703,0.620953732
1.2,0.495518046,0.513153581,0.589531366,0.526056257,0.622981495,0.559131386,0.676137145,0.741788564,0.712468419
1,0.501704372,0.514642833,0.557246447,0.540822755,0.641791996,0.578234936,0.693729121,0.863665428,0.848187002
0.8,0.523622126,0.530984473,0.543920573,0.541018625,0.636714772,0.669234511,0.853947412,0.902763512,0.781733387
0.6,0.541097324,0.578990945,0.581466682,0.63238506,0.786320158,0.728916182,0.880699197,1,0.899911132
0.4,0.585276804,0.66322032,0.69524654,0.678440109,0.926162139,0.712514881,1,1,1
0.2,0.719109151,0.788803951,0.771023754,0.781138727,1,0.94283327,1,1,0.93144743
0.1,1,1,1,0.88855,1,0.92061702,1,1,0.825868272
0.08,1,1,1,1,1,1,1,1,0.870308625
0.06,1,1,1,1,1,1,1,1,1
0.05,1,1,1,1,1,1,1,1,1
0.04,1,1,1,1,1,1,1,1,1
0.03,1,1,1,1,1,1,1,1,1
0.02,1,1,1,1,1,1,1,1,1
0.01,1,1,1,1,1,1,1,1,1
