Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
Coarse,1.0021,1.00915,1.04026,1.04545,1.00726,1.06416,1.05556,1.05646,1.08009
1.8,1.01736,1.02512,1.14608,1.20962,1.19994,1.23128,1.36463,1.4151,1.53711
1.6,1.02764,1.0416,1.07823,1.19741,1.18112,1.23132,1.53625,1.68646,1.57723
1.4,1.01808,1.05602,1.09048,1.2463,1.31535,1.3862,1.36694,1.52204,1.61923
1.2,1.02543,1.06426,1.2415,1.2375,1.29511,1.32423,1.47548,1.56191,1.84431
1,1.02144,1.04912,1.15272,1.2534,1.3088,1.34945,1.48893,1.79645,2.15392
0.8,1.04183,1.05736,1.09953,1.22584,1.26931,1.52724,1.79241,1.83688,1.95277
0.6,1.03434,1.1119,1.13361,1.38111,1.51012,1.60718,1.78811,1.95772,2.16704
0.4,1.04198,1.18544,1.26238,1.38568,1.65984,1.46632,1.9018,1.83017,2.266
0.2,1.05681,1.16601,1.16073,1.32942,1.48621,1.62486,1.59005,1.52214,1.77804
0.1,1.08876,1.10452,1.11934,1.13618,1.10929,1.19184,1.20745,1.15883,1.19371
0.08,1.02525,1.01788,1.03281,1.13335,1.02048,1.1549,1.06937,1.0283,1.14067
0.06,1.02652,1.03513,1.03912,1.14803,1.04301,1.18443,1.09142,1.08113,1.2812
0.05,1.02156,1.02036,1.03394,1.10585,1.03236,1.12652,1.0853,1.06132,1.20445
0.04,1.05878,1.06027,1.06138,1.12093,1.07599,1.11725,1.09212,1.10089,1.19885
0.03,1.07686,1.07849,1.09049,1.11769,1.09567,1.10833,1.09948,1.11396,1.15323
0.02,1.02372,1.03446,1.03125,1.02663,1.02897,1.0297,1.02923,1.03384,1.05561
0.01,1.03028,1.02968,1.03037,1.04154,1.03033,1.04452,1.03788,1.03477,1.04718
