Area,N = 4,N = 9,N = 16,N = 25,N = 36,N = 49,N = 64,N = 81,N = 100
2,1.94872,4.12048,6.75556,9.59596,12.43636,14.21374,16.44444,8.59777,6.77083
1.8,1.45455,2.30769,4.10256,4.90566,7.90244,8.60696,22.66542,6.36792,6.18893
1.6,1.42007,2.23766,4.1931,4.90566,6.94286,8.50344,20.91144,6.28882,6.18893
1.4,1.3141,2.12132,2.97323,4.41426,6.2208,8.57712,19.83687,6.25,5.99369
1.2,1.29762,1.95652,3.02167,4.65116,4.52595,7.09026,19.82806,4.29936,6.23053
1,1.34409,1.77692,2.90295,4.34783,4.49489,5.88228,19.85137,4.6188,4.97512
0.8,1.25677,1.64405,2.94972,3.09278,4.46572,4.4467,17.41743,4.58491,4.18327
0.6,1.14236,1.42066,2.05092,2.71985,3.50365,4.09308,12.90079,2.80385,4.18327
0.4,1.09456,1.33919,1.79135,2.08333,2.7276,3.33629,11.38686,2.82723,2.68065
0.2,1.05621,1.1481,1.33716,1.56202,1.71843,2.03262,7.01846,1.84819,1.71723
0.1,1.02349,1.03754,1.14702,1.21883,1.28612,1.36744,4.11961,1.36027,1.37139
0.08,1.01432,1.03682,1.08498,1.14511,1.20323,1.29548,3.46824,1.32534,1.25722
0.06,1.00759,1.03349,1.03707,1.10328,1.08444,1.20348,2.79164,1.26431,1.18683
0.05,1.01592,1.02633,1.04845,1.07312,1.06069,1.12141,2.56994,1.23274,1.15544
0.04,1.00277,1.02755,1.00502,1.05935,1.07634,1.0701,2.21743,1.18068,1.10913
0.03,1.00506,1.01561,1.01387,1.04257,1.06674,1.05083,1.86244,1.11495,1.08482
0.02,1.00587,1.01974,1.00998,1.04069,1.04001,1.02638,1.56597,1.09222,1.06835
0.01,1.00235,1.00874,1.01675,1.01885,1.02343,1.01902,1.28898,1.03974,1.01557
